Label,sex,Closeness Centrality,Betweenness Centrality,Weighted Degree,Weighted In-Degree,Weighted Out-Degree
QY,male,0.18965517241379312,0.0,1.0,0.0,1.0
XL,male,0.6428571428571428,0.0,24.0,0.0,24.0
NT,female,0.5454545454545455,0.0,6.0,0.0,6.0
AC,male,0.8333333333333334,0.0,4.0,0.0,4.0
BK,male,0.4444444444444444,0.0,4.0,0.0,4.0
PT,male,0.44927536231884063,0.0,4.0,0.0,4.0
YJ,male,0.32231404958677684,0.0,11.0,0.0,11.0
XB,male,0.5454545454545455,0.0,1.0,0.0,1.0
ES,male,0.4186046511627907,1.9592476489028212E-4,3.0,1.0,2.0
BJ,male,1.0,0.0,2.0,0.0,2.0
YZ,male,0.511904761904762,4.2357068219137187E-4,16.0,1.0,15.0
DL,male,0.46987951807228917,3.5282007264765883E-4,12.0,2.0,10.0
JJ,,0.2534246575342466,6.530825496342738E-5,10.0,1.0,9.0
LZ,male,0.24324324324324326,0.0,7.0,2.0,5.0
DW,male,0.5757575757575757,0.0013477383089452056,14.0,1.0,13.0
BY,male,0.29508196721311475,0.0,5.0,1.0,4.0
XX,,0.3017241379310345,0.006193399512365029,12.0,4.0,8.0
XZ,male,0.5151515151515151,6.392434194158332E-4,5.0,1.0,4.0
CZ,male,0.23239436619718312,1.3061650992685477E-4,9.0,4.0,5.0
KJ,male,0.6153846153846154,0.004585416977658356,11.0,4.0,7.0
CL,male,1.0,0.0,1.0,0.0,1.0
BL,male,0.4805194805194805,0.0,10.0,1.0,9.0
LW,male,0.22695035460992907,0.004299460118425635,10.0,6.0,4.0
KL,male,0.0,0.0,0.0,0.0,0.0
HW,female,0.2767857142857143,0.012920149773598049,10.0,6.0,4.0
LC,male,0.34523809523809523,0.03229493207941484,8.0,5.0,3.0
YS,male,0.6,0.0,3.0,2.0,1.0
JL,male,0.5068493150684932,0.0016955752653244817,22.0,4.0,18.0
YW,male,0.5294117647058824,6.688394619429103E-4,19.0,3.0,16.0
KB,male,0.6666666666666666,0.0,2.0,0.0,2.0
LL,male,0.0,0.0,0.0,0.0,0.0
LL,female,0.4411764705882353,0.0,4.0,1.0,3.0
JT,male,0.4915254237288136,0.0018808777429467085,6.0,2.0,4.0
ZJ,male,0.5147058823529412,8.408178666799356E-4,19.0,5.0,14.0
TW,female,1.0,0.0,3.0,1.0,2.0
HG,male,0.0,0.0,0.0,0.0,0.0
YS,male,0.6666666666666666,0.0,1.0,0.0,1.0
QL,male,0.44776119402985076,2.4133426366968686E-4,13.0,5.0,8.0
XL,male,0.5076923076923077,5.484385578429465E-4,18.0,5.0,13.0
XF,male,0.6037735849056604,0.005644460758097123,27.0,9.0,18.0
ZH,male,0.4915254237288136,9.391996167074537E-4,19.0,8.0,11.0
JH,male,0.48275862068965514,2.761087890398235E-4,16.0,6.0,10.0
XF,male,0.54,0.011481547521908022,23.0,13.0,10.0
XYL,male,0.4727272727272727,0.03287006880267069,27.0,15.0,12.0
GLX,male,0.5813953488372093,0.030851940060404013,23.0,13.0,10.0
WW,female,0.5,4.271423746345376E-5,12.0,9.0,3.0
HC,male,0.0,0.0,1.0,1.0,0.0
ST,male,0.0,0.0,3.0,3.0,0.0
SA,male,0.6923076923076923,1.197318007662835E-4,6.0,1.0,5.0
JW,male,0.0,0.0,3.0,3.0,0.0
MQ,female,0.0,0.0,0.0,0.0,0.0
LH,male,0.7142857142857143,0.006279608003745934,10.0,4.0,6.0
ES,male,0.0,0.0,0.0,0.0,0.0
YZ,female,0.8,0.03503809010274527,16.0,7.0,9.0
EM,male,0.0,0.0,1.0,1.0,0.0
ML,male,0.6,4.090011927002523E-5,10.0,7.0,3.0
HL,male,0.6153846153846154,1.3061650992685477E-4,6.0,3.0,3.0
JY,female,0.0,0.0,3.0,3.0,0.0
AP,male,0.5454545454545455,0.0,4.0,3.0,1.0
LM,male,0.0,0.0,0.0,0.0,0.0
CW,female,0.6363636363636364,1.1128790517505253E-4,14.0,11.0,3.0
AT,male,0.0,0.0,2.0,2.0,0.0
GX,male,1.0,0.003705060758352294,21.0,13.0,8.0
YD,male,0.6666666666666666,8.751306165099269E-4,15.0,12.0,3.0
YZ,male,0.6666666666666666,0.0,4.0,3.0,1.0
XY,male,0.8,0.0012002644545747994,8.0,2.0,6.0
YL,female,0.0,0.0,0.0,0.0,0.0
JL,male,0.8333333333333334,0.0011386960740409015,14.0,10.0,4.0
JNC,male,1.0,0.0038874055527660534,23.0,19.0,4.0
BZ,female,0.8571428571428571,0.0021481591524694977,12.0,7.0,5.0
XD,male,1.0,2.1096545391216236E-4,22.0,21.0,1.0
ZL,male,0.8571428571428571,0.008286289859565721,13.0,8.0,5.0
WW,male,0.0,0.0,0.0,0.0,0.0
TW,male,1.0,0.005460687141721623,17.0,12.0,5.0
YXL,male,1.0,5.224660397074191E-4,11.0,9.0,2.0
KZ,male,0.8,0.0014678648299337959,9.0,6.0,3.0
MG,male,0.0,0.0,9.0,9.0,0.0
DY,male,1.0,9.973032308455505E-4,15.0,14.0,1.0
BW,male,1.0,6.530825496342738E-4,12.0,11.0,1.0
RZ,female,0.0,0.0,20.0,20.0,0.0
PP,male,1.0,0.00239306510858235,10.0,7.0,3.0
CT,female,1.0,1.0884709160571228E-4,7.0,5.0,2.0
GT,male,1.0,2.8300243817485195E-4,10.0,9.0,1.0
TW,male,0.0,0.0,0.0,0.0,0.0
ZS,male,0.0,0.0,6.0,6.0,0.0
BB,male,0.0,0.0,9.0,9.0,0.0
LZ,male,0.0,0.0,0.0,0.0,0.0
1201,,0.0,0.0,0.0,0.0,0.0
044517,,0.43999999999999995,0.0,1.0,0.0,1.0
